snapshot_date,post_id,due_at,channel,is_video,views,impressions,reach,reactions,comments,shares,saves,clicks,follows,engagement_rate,avg_time_watched,text
2026-09-17,6aa81cc44914007b66a112ef,2026-09-14T15:13:55.000Z,facebook,1,,,0,2,0,0,,,,,,
2026-09-17,6aa80f7535cef8e8b482754e,2026-09-14T15:13:55.000Z,facebook,1,,0,,0,0,0,,0,,0,,
2026-09-17,6aa6f38cad650f94690538e5,2026-09-13T16:26:04.000Z,facebook,1,,,0,0,0,0,,,,,,
2026-09-17,6aa6c90e4cc07ffa4d3a4355,2026-09-13T16:02:22.440Z,instagram,1,74,,64,2,0,,,,,3.7,,
2026-09-17,6aa6c8ff66679b076f2e264b,2026-09-13T16:02:07.482Z,facebook,1,,41,,0,0,0,,0,,0,,"1,000 of you on TikTok 💜 Thank you, Lompoc. In this town, that's a whole section of Huyck Stadium. Thank you for watchin"
2026-09-17,6aa6c8f14cc07ffa4d3a4024,2026-09-13T16:01:53.191Z,instagram,1,156,,111,4,0,0,0,,0,3.6,,"1,000 of you on TikTok 💜 Thank you, Lompoc. In this town, that's a whole section of Huyck Stadium. Thank you for watchin"
2026-09-17,6aa6c8e51f8cf810a117116c,2026-09-13T16:01:41.603Z,tiktok,1,247,,226,5,1,0,,,,2.43,3.07,"1,000 of you 💜 Thank you, Lompoc. Every game, every business, every story. Keep supporting your town: shop local, share "
2026-09-17,6aa605bfeba7bc56778a023f,2026-09-13T02:09:03.935Z,instagram,1,85,,70,0,0,,,,,0,,
2026-09-17,6aa605b4f7b1958d5cdb32c6,2026-09-13T02:08:52.081Z,facebook,1,,1250,,18,0,0,,28,,3.68,,"Week 3 is in the books 🏈 Lompoc Braves 48, Pioneer Valley 6 — the Braves are 3-0. Nipomo 49, Cabrillo Conqs 14 — the Con"
2026-09-17,6aa605a866679b076f1cb596,2026-09-13T02:08:40.644Z,instagram,1,942,,675,13,0,1,0,,0,2.07,,"Week 3 is in the books 🏈 🔵 Lompoc Braves 48, Pioneer Valley 6 — the Braves are 3-0. 🟡 Nipomo 49, Cabrillo Conqs 14 — the"
2026-09-17,6aa6059cf7b1958d5cdb3189,2026-09-13T02:08:28.684Z,tiktok,1,551,,466,24,0,0,,,,4.36,5.8,"Week 3 is in the books 🏈 Braves 48-6 over Pioneer Valley (3-0). Conqs fall 49-14 at Nipomo (1-3). Every score, every wee"
2026-09-17,6aa493b1997881a67934dab8,2026-09-13T00:00:00.000Z,instagram,1,111,,92,4,2,,,,,4.55,,
2026-09-17,6aa493af2ac3c81fe88931a1,2026-09-13T00:00:00.000Z,tiktok,1,256,,234,3,1,1,,,,1.95,3.24,"Live music tonight at Hangar 7 🎶 Drinks, damn good pizza, and a band. No cover, all ages. Saturday 7 PM · 107 W Ocean Av"
2026-09-17,6aa4a1a3bbabbce8485146c1,2026-09-12T00:16:57.000Z,facebook,1,,,0,0,0,0,,,,,,
2026-09-17,6aa49a37a0e723da3758db5f,2026-09-12T00:16:57.000Z,facebook,1,,0,,0,0,0,,0,,0,,
2026-09-17,6aa493ae2ac3c81fe889316c,2026-09-12T00:00:00.000Z,instagram,1,118,,99,3,0,,,,,3.23,,
2026-09-17,6aa493a2997881a67934d8cf,2026-09-11T23:49:54.698Z,tiktok,1,1534,,1287,53,1,5,,,,3.85,6.17,"Friday Night · Week 3 🏈 Two games, one town. Braves host Pioneer Valley 7 PM at Huyck · Conqs at Nipomo 7 PM. Pick your "
2026-09-17,6a9f91975b3dd39bb3a3e79f,2026-09-11T18:10:00.000Z,facebook,0,,4190,,9,0,3,,60,,1.72,,"Friday Night, Week 3 🏈 Lompoc Braves vs Pioneer Valley, 7:00 PM at Huyck Stadium (515 W College Ave). Cabrillo Conquista"
2026-09-17,6a9f919341a7828a66b09665,2026-09-11T18:00:00.000Z,instagram,0,1784,,798,32,0,1,1,,1,4.39,,"FRIDAY NIGHT · WEEK 3 🏈  Two games. One town. 🔵 Lompoc Braves vs Pioneer Valley — 7:00 PM, Huyck Stadium, 515 W College "
2026-09-17,6aa44cd7bcc5bb2ea00cdd38,2026-09-11T16:23:12.000Z,facebook,1,,,0,5,0,0,,,,,,
2026-09-17,6aa42b2fe9898025236c40b2,2026-09-11T16:23:12.000Z,facebook,1,,0,,0,0,0,,0,,0,,
2026-09-17,6aa428c6616ad9a7807beda0,2026-09-11T16:13:58.275Z,instagram,1,125,,100,4,0,,,,,4,,
2026-09-17,6aa428ba616ad9a7807bebce,2026-09-11T16:13:46.801Z,facebook,1,,6218,,102,8,15,,349,,7.59,,"Member Spotlight · Toro Loco 🌮 Family-owned, built on the Arias family recipes, every salsa and sauce made from scratch."
2026-09-17,6aa428af531781adf634184c,2026-09-11T16:13:35.403Z,instagram,1,1417,,1058,45,4,5,2,,0,5.77,,"Member Spotlight · Toro Loco 🌮 Family-owned, built on the Arias family recipes, every salsa and sauce made from scratch."
2026-09-17,6aa428a2531781adf63416ea,2026-09-11T16:13:22.794Z,tiktok,1,3698,,3132,158,9,32,,,,5.38,8.23,"Member Spotlight: Toro Loco 🌮 Family recipes, everything from scratch, pozole and menudo on weekends, catering too. Two "
2026-09-17,6a9f918e4c4e8f29117af3a9,2026-09-10T19:10:00.000Z,facebook,0,,91,,0,0,0,,1,,1.1,,"Thursday night at Cypress Gallery: Zine Making ✂️ Bring an idea, leave with a zine. 🕕 Thu Sept 10, 6:00 PM · 📍 119 E Cyp"
2026-09-17,6a9f918bff0db23b220fa263,2026-09-10T19:05:00.000Z,instagram,0,60,,45,0,0,,,,,0,,
2026-09-17,6a9f9187555f6e1cb7786db0,2026-09-10T19:00:00.000Z,instagram,0,306,,172,6,0,1,0,,0,4.07,,"Thursday night at Cypress Gallery: Zine Making ✂️📄  Bring an idea, leave with a zine — cut, fold, staple, share. All age"
2026-09-17,6aa2f8be6aeddb681107544e,2026-09-10T16:23:50.000Z,facebook,1,,,0,0,0,0,,,,,,
2026-09-17,6aa2d456178aa05a26db8643,2026-09-10T16:01:26.771Z,instagram,1,77,,67,0,0,,,,,0,,
2026-09-17,6aa2d44b178aa05a26db8414,2026-09-10T16:01:15.217Z,facebook,1,,140,,0,0,0,,0,,0,,"Member Spotlight · Clark Builders, Inc. 🔨 Local, family-owned and operated, building in Lompoc since 2012. Home remodels"
2026-09-17,6aa2d43fb9da4f31686ede16,2026-09-10T16:01:03.446Z,instagram,1,262,,183,4,0,0,0,,0,2.19,,"Member Spotlight · Clark Builders, Inc. 🔨 Local, family-owned and operated, building in Lompoc since 2012. Home remodels"
2026-09-17,6aa2d433b9da4f31686eda96,2026-09-10T16:00:51.339Z,tiktok,1,293,,254,6,1,4,,,,3.75,4.17,"Member Spotlight: Clark Builders, Inc. 🔨 Local, family-owned, building in Lompoc since 2012. Remodels · additions · ADUs"
2026-09-17,6aa1a21e7ef84ae9d26d65b1,2026-09-09T17:20:19.000Z,facebook,1,,,0,0,0,0,,,,,,
2026-09-17,6aa1959203902990a75d5e98,2026-09-09T17:20:19.000Z,facebook,1,,0,,0,0,0,,0,,0,,
2026-09-17,6aa190ea5e8b0a4dedb859cc,2026-09-09T17:01:30.727Z,instagram,1,76,,62,2,0,,,,,3.33,,
2026-09-17,6aa190dfc74d93f7c812851e,2026-09-09T17:01:19.318Z,facebook,1,,523,,3,0,0,,18,,4.02,,Lompoc Locals News · Sept 9 📰 🗳 Mosby and Ball compete for mayor — incumbent Jim Mosby faces Councilman Jeremy Ball in N
2026-09-17,6aa190d32472d80c22aaf160,2026-09-09T17:01:07.703Z,instagram,1,255,,205,1,0,0,0,,0,0.49,,Lompoc Locals News · Sept 9 📰 🗳 Mosby and Ball compete for mayor — incumbent Jim Mosby faces Councilman Jeremy Ball in N
2026-09-17,6aa04ae600dab901cb60e6e1,2026-09-08T15:44:07.000Z,facebook,1,,,0,0,0,0,,,,,,
2026-09-17,6aa02c6648794a7111561452,2026-09-08T15:40:22.746Z,instagram,1,89,,70,1,0,,,,,1.43,,
2026-09-17,6aa02c5b9cf55d2acd0315bc,2026-09-08T15:40:11.134Z,tiktok,1,1238,,1052,39,0,4,,,,3.47,5.73,"New in Lompoc: Coastal Tint 🌴 ceramic window tint, wraps, headlight restoration, detailing · family-owned · 123 W Ocean "
2026-09-17,6aa02c4f9cf55d2acd0313a5,2026-09-08T15:39:59.450Z,facebook,1,,325,,0,0,0,,3,,0.92,,Member spotlight: Coastal Tint 🌴 New on Ocean Avenue and family-owned: ceramic window tint that blocks the heat and the 
2026-09-17,6aa02c43bf7753dc82a47e86,2026-09-08T15:39:47.922Z,instagram,1,426,,281,5,1,0,0,,0,2.14,,Member spotlight: COASTAL TINT 🌴 New on Ocean Avenue and family-owned: ceramic window tint that blocks the heat and the 
2026-09-17,6a9d9fb3a456b4a1cf42d9cf,2026-09-06T17:09:01.000Z,facebook,1,,,0,0,0,0,,,,,,
2026-09-17,6a9d993d9730c9bde5497129,2026-09-06T16:47:57.526Z,instagram,1,97,,87,1,0,,,,,1.23,,
2026-09-17,6a9d99322066ff47cc401837,2026-09-06T16:47:46.218Z,tiktok,1,1083,,889,30,2,21,,,,4.89,6.43,"The Brave's Night 🏈 Lompoc 38, Cabrillo 2. One town, two legends, one Friday night. Respect to both sides. lompoclocals."
2026-09-17,6a9d99269730c9bde5497028,2026-09-06T16:47:34.927Z,facebook,1,,1321,,12,0,2,,33,,3.56,,"THE BRAVE'S NIGHT 🏈 One town raised two legends. On Friday night, only one could carry it home. Lompoc 38 · Cabrillo 2. "
2026-09-17,6a9d991baf83b6dedf969dcd,2026-09-06T16:47:23.650Z,instagram,1,916,,631,21,0,13,1,,0,5.55,,"THE BRAVE'S NIGHT 🏈 One town raised two legends. On Friday night, only one could carry it home. Lompoc 38 · Cabrillo 2. "
2026-09-17,6a9c7685be735eaf3e813447,2026-09-05T17:46:37.000Z,facebook,1,,,0,3,0,0,,,,,,
2026-09-17,6a9c55bc99fb0ab36980cef2,2026-09-05T17:46:37.000Z,facebook,1,,0,,0,0,0,,0,,0,,
2026-09-17,6a9c547285ccb3a22c072818,2026-09-05T17:42:11.036Z,instagram,1,92,,75,2,0,,,,,2.94,,
2026-09-17,6a9c5467f97391de04bb00dd,2026-09-05T17:41:59.737Z,tiktok,1,716,,620,16,1,2,,,,2.65,6.03,"Saturday night in Lompoc = Hangar 7 🍕🍷 wood-fired pizza, local wine, craft beer, live music at 7 · 107 W Ocean Ave · lom"
2026-09-17,6a9c545c85ccb3a22c0726dc,2026-09-05T17:41:48.573Z,facebook,1,,2252,,26,0,0,,53,,3.51,,"Member spotlight: Hangar 7 Social House 🍕🍷 Wood-fired pizza, local wine and craft beer, wings, and a lounge full of old "
2026-09-17,6a9c54510ca93dff239f8ab0,2026-09-05T17:41:37.366Z,instagram,1,1154,,769,21,1,3,1,,0,3.77,,"Member spotlight: HANGAR 7 SOCIAL HOUSE 🍕🍷 There's a hangar on Ocean Avenue: wood-fired pizza, wine from right up the ro"
2026-09-17,6a974ffc3bb977dabf6920c2,2026-09-04T16:15:00.000Z,tiktok,0,0,,0,0,0,0,,,,0,0,42–0 season opener for the Lompoc Braves 🏈 story at lompoclocals.com/news #Lompoc #FridayNightLights #805 #HighSchoolFoo
2026-09-17,6a974ffa8636374aa649490d,2026-09-04T16:10:00.000Z,facebook,0,,2856,,24,2,0,,91,,4.1,,42–0.  The Braves opened the season by shutting out Santa Ynez — read how it went down on the Lompoc News desk:  https:/
2026-09-17,6a9af7097260bc5b6be85367,2026-09-04T15:52:14.000Z,facebook,1,,,0,1,0,0,,,,,,
2026-09-17,6a9ad6ae276284e54171b2d6,2026-09-04T14:33:18.357Z,instagram,1,81,,67,2,0,,,,,3.08,,
2026-09-17,6a9ad656daf7c7188fd7ef00,2026-09-04T14:31:51.020Z,tiktok,1,3882,,3171,129,9,50,,,,4.84,7.35,"THE BIG GAME is TODAY 🏈 Braves vs Conqs · tonight 7 PM · Huyck Stadium, Lompoc. Braves or Conqs? 👇 lompoclocals.com/even"
2026-09-17,6a9ad64adaf7c7188fd7edfa,2026-09-04T14:31:38.669Z,facebook,1,,5987,,96,24,18,,395,,8.84,,"Two schools. Two legends. One field. 🏈 THE BIG GAME is TODAY — Lompoc Braves vs Cabrillo Conquistadores, tonight at 7:00"
2026-09-17,6a9ad63fb978916dd718fb8a,2026-09-04T14:31:27.373Z,instagram,1,3307,,2285,62,2,71,4,,0,6.17,,Two schools. Two legends. One field. 🏈 THE BIG GAME is TODAY — Lompoc Braves vs Cabrillo Conquistadores 🕖 Tonight · 7:00
2026-09-17,6a9a0846bc2e4059f2c0e882,2026-09-03T23:52:38.251Z,instagram,1,83,,62,3,0,,,,,4.92,,
2026-09-17,6a9a083abc2e4059f2c0e7df,2026-09-03T23:52:26.753Z,tiktok,1,327,,277,1,1,0,,,,0.61,4.25,"Plumbing problem in your business? Terrones Plumbing, family-owned in Lompoc for 25 years — any plumbing problem, one ca"
2026-09-17,6a9a082f3c620187850f996a,2026-09-03T23:52:15.380Z,facebook,1,,276,,0,0,0,,1,,0.36,,"Member spotlight: Terrones Plumbing 🔧 Burst pipe, backed-up drain, a leak you can't find — 25 years fixing Lompoc's pipe"
2026-09-17,6a9a08233c620187850f9851,2026-09-03T23:52:03.433Z,instagram,1,453,,359,1,0,0,2,,0,0.84,,Member spotlight: TERRONES PLUMBING 🔧 Pipe burst. Drain backed up. A leak you can't find. Twenty-five years fixing Lompo
2026-09-17,6a99cda577f0eb5593ec3455,2026-09-03T17:30:59.000Z,facebook,0,,,0,0,0,0,,,,,,
2026-09-17,6a95bd778a958c827f700438,2026-09-03T17:15:00.000Z,tiktok,0,448,,391,7,0,1,,,,1.79,5.21,"Art Walk Thursday in Old Town Lompoc 🎨 5–8 PM — art, live music, vendors. lompoclocals.com/events #Lompoc #ArtWalk #OldT"
2026-09-17,6a95bd7306e51508ecb0a4c7,2026-09-03T17:10:00.000Z,facebook,0,,630,,4,0,0,,12,,2.54,,"Thursday is Art Walk night 🎨  First Thursday of the month, downtown turns into a showcase — art, live music, exhibitions"
2026-09-17,6a95bd6f8a958c827f700400,2026-09-03T17:05:00.000Z,instagram,0,72,,55,2,0,,,,,4.08,,
2026-09-17,6a95bd6b73f619a586fe2a20,2026-09-03T17:00:00.000Z,instagram,0,864,,535,16,0,3,2,,0,4.11,,"Thursday is Art Walk night 🎨  First Thursday of the month, downtown turns into a showcase — art, live music, exhibitions"
2026-09-17,6a98f898daa77790e9a014a0,2026-09-03T01:35:27.000Z,facebook,1,,,0,1,0,2,,,,,,
2026-09-17,6a98cf1e78cc214e304f1f4e,2026-09-03T01:35:27.000Z,facebook,1,,0,,0,0,0,,0,,0,,
2026-09-17,6a98cbbc2b1b4d897b97b4be,2026-09-03T01:22:04.163Z,instagram,1,125,,89,2,0,,,,,2.41,,
2026-09-17,6a98cbb030f715efe29bb1f0,2026-09-03T01:21:52.718Z,tiktok,1,13839,,11116,739,50,293,,,,7.82,10.75,Braves at Conqs. Friday 7 PM at Cabrillo High. Pick your side 🏈 lompoclocals.com/events #Lompoc #FridayNightLights #High
2026-09-17,6a98cba5de6f9cf7d4ec5482,2026-09-03T01:21:41.274Z,facebook,1,,18828,,265,42,42,,1050,,7.4,,"One town. Two high schools. One Friday night. 🏈 Lompoc Braves at Cabrillo Conquistadores — Friday, September 4, 7:00 PM "
2026-09-17,6a98cb99de6f9cf7d4ec5422,2026-09-03T01:21:29.857Z,instagram,1,8319,,5207,255,9,117,14,,0,8.14,,"One town. Two high schools. One Friday night. 🏈 Lompoc Braves at Cabrillo Conquistadores — Friday, Sept 4, 7:00 PM, Cabr"
2026-09-17,6a97a1b7321dc7a2c2ccd9a2,2026-09-02T03:31:00.000Z,facebook,1,,,0,0,0,0,,,,,,
2026-09-17,6a9793066312498c06684dc4,2026-09-02T03:20:00.000Z,instagram,1,111,,93,1,0,,,,,1.14,,
2026-09-17,6a9792ee62c34b596d27fd6d,2026-09-02T03:07:26.694Z,tiktok,1,4415,,3818,188,5,47,,,,5.44,7.44,The buns at Eddie's Grill are homemade 🍞🍔 baked fresh for every burger and hot dog — two Lompoc locations. lompoclocals.
2026-09-17,6a9792e3ef5558a3e0c6a45b,2026-09-02T03:07:15.431Z,facebook,1,,2151,,25,4,3,,67,,4.6,,"Member spotlight: EDDIE'S GRILL 🍔  The secret is the bread. They mix it, proof it, and bake it fresh — every burger bun,"
2026-09-17,6a9792d7b9407160d6aef0de,2026-09-02T03:07:04.020Z,instagram,1,2233,,1472,66,1,6,1,,0,5.03,,"Member spotlight: EDDIE'S GRILL 🍔  The secret is the bread. @eddiesgrill mixes it, proofs it, and bakes it fresh — every"
2026-09-17,6a977741f28db1e6ca413662,2026-09-01T22:19:07.000Z,facebook,1,,,0,0,0,0,,,,,,
2026-09-17,6a971786b3565061f9eacb3b,2026-09-01T22:15:00.000Z,tiktok,1,1643,,1493,19,0,4,,,,1.4,5.33,"Lompoc spotlight: West Coast Industries 🚻 porta-potty rentals + VIP trailers since 2010, serving the 805. lompoclocals.c"
2026-09-17,6a9717841c19f707eb565ba3,2026-09-01T22:10:00.000Z,facebook,1,,447,,0,0,0,,4,,0.89,,Lompoc spotlight: WEST COAST INDUSTRIES 🚻  Locally owned sanitation on N 8th Street since 2010 — porta-potty rentals and
2026-09-17,6a97177faa5ae3a7c6aefe87,2026-09-01T22:05:00.000Z,instagram,1,86,,67,1,0,,,,,1.61,,
2026-09-17,6a97177d1c19f707eb565b0f,2026-09-01T22:00:00.000Z,instagram,1,590,,403,20,2,3,2,,0,7.44,,Lompoc spotlight: WEST COAST INDUSTRIES 🚻  Locally owned sanitation on N 8th Street since 2010 — porta-potty rentals and
2026-09-17,6a972274c02336c80074fa0c,2026-09-01T17:36:15.000Z,facebook,1,,,0,0,0,0,,,,,,
2026-09-17,6a972deae1deb9e24eb39da6,2026-09-01T17:35:44.000Z,instagram,1,87,,69,0,0,,,,,0,,
2026-09-17,6a962271ade87097e0b4354e,2026-08-31T23:01:14.000Z,facebook,0,,,0,0,0,0,,,,,,
2026-09-17,6a95ac6b1c92e18074782e41,2026-08-31T17:15:00.000Z,tiktok,0,538,,506,4,0,0,,,,0.74,3.72,"Lompoc Locals ahora en español 🌸 ofertas, noticias, eventos y el mapa — en tu idioma. lompoclocals.com/es #Lompoc #EnEsp"
2026-09-17,6a95cc805a8c05b6bc4bd5ee,2026-08-31T17:10:16.000Z,facebook,0,,,0,2,0,0,,,,,,
2026-09-17,6a95ac67e3b9bc5e662db7d2,2026-08-31T17:10:00.000Z,facebook,0,,820,,11,0,0,,19,,3.66,,"Lompoc Locals, ahora en español. 🌸  Las ofertas, las noticias, los eventos y el mapa — todo el sitio, en tu idioma. Mism"
2026-09-17,6a95ac6453e01f69d944dece,2026-08-31T17:05:00.000Z,instagram,0,80,,62,0,0,,,,,0,,
2026-09-17,6a95ac6053e01f69d944de81,2026-08-31T17:00:00.000Z,instagram,0,328,,187,4,0,0,0,,1,2.14,,"Lompoc Locals, ahora en español. 🌸  Las ofertas, las noticias, los eventos y el mapa — todo el sitio, en tu idioma. Mism"
